Day,Date,Topic
1,July 5 2025,"Welcome, FE Exam Overview, Study Plan, Motivation"
2,July 6 2025,"Hardware: Intro to Computers, Types, History (Ch 1-1.1)"
3,July 7 2025,"Hardware: Five Major Units of Computers (Ch 1-1.2)"
4,July 8 2025,"Hardware: CPU, Main Memory, Peripheral Devices (Ch 1-1.2)"
5,July 9 2025,"Hardware: Data Representation - Bits, Bytes, Words, Prefixes (Ch 1-2.1)"
6,July 10 2025,"Hardware: Number Systems Intro - Binary, Octal, Hexadecimal (Ch 1-2.2)"
7,July 11 2025,"Hardware: Radix Conversions - n-Base to Decimal (Ch 1-2.2)"
8,July 12 2025,"Hardware: Radix Conversions - Fractional n-Base to Decimal (Ch 1-2.2)"
9,July 13 2025,"Hardware: Radix Conversions - Decimal to n-Base (Integer Part) (Ch 1-2.2)"
10,July 14 2025,"Hardware: Radix Conversions - Decimal to n-Base (Fractional Part) (Ch 1-2.2)"
11,July 15 2025,"Hardware: Radix Conversions - Binary to Octal/Hexadecimal (Ch 1-2.2)"
12,July 16 2025,"Hardware: Radix Conversions - Octal to Hexadecimal & n-Base to m-Base (Ch 1-2.2)"
13,July 17 2025,"Hardware: Radix Conversions - Practice Session 1"
14,July 18 2025,"Hardware: Radix Conversions - Practice Session 2"
15,July 19 2025,"Hardware: Character Data Representation - ASCII, JIS, Unicode, EBCDIC (Ch 1-2.3.1)"
16,July 20 2025,"Hardware: Numeric Data Representation - Zoned & Packed Decimal (Ch 1-2.3.2)"
17,July 21 2025,"Hardware: Fixed Point Numbers & Signed Absolute Value (Ch 1-2.3.2)"
18,July 22 2025,"Hardware: Complements - 1's and 2's Complement Notation (Ch 1-2.3.2)"
19,July 23 2025,"Hardware: Floating Point Number Representation (Ch 1-2.3.2)"
20,July 24 2025,"Hardware: Floating Point Normalization & IEEE 754 Format (Ch 1-2.3.2)"
21,July 25 2025,"Hardware: Errors - Rounding, Loss of trailing digits, Cancellation (Ch 1-2.3.3)"
22,July 26 2025,"Hardware: Errors - Overflow and Underflow (Ch 1-2.3.3)"
23,July 27 2025,"Hardware: Shift Operations - Arithmetic & Logical Shift (Ch 1-2.3.4)"
24,July 28 2025,"Hardware: Rotation Shift & Shift Operation Practice (Ch 1-2.3.4)"
25,July 29 2025,"Hardware: Boolean Logic & Main Logical Operations (AND, OR, NOT, XOR) (Ch 1-3.4.1)"
26,July 30 2025,"Hardware: Logic Circuits & Truth Tables - AND, OR, NOT, NAND, NOR, XOR (Ch 1-3.4.1)"
27,July 31 2025,"Hardware: Logic Laws - Commutative, Associative, Distributive, De Morgan's (Ch 1-3.4.1)"
28,August 1 2025,"Hardware: Logic Design Practice - Simplifying Logical Expressions"
29,August 2 2025,"Hardware: Arithmetic Circuits - Half Adder & Full Adder (Ch 1-3.4.2)"
30,August 3 2025,"Hardware: Complementer and Arithmetic Circuit Design (Ch 1-3.4.2)"
31,August 4 2025,"Hardware: CPU Configuration - Control Unit, ALU, Registers (Ch 1-3.1)"
32,August 5 2025,"Hardware: CPU Registers In-Depth - PC, IR, Accumulator, etc. (Ch 1-3.1)"
33,August 6 2025,"Hardware: CPU Clock, Bus (Internal, External, Address, Data, Control) (Ch 1-3.1)"
34,August 7 2025,"Hardware: Instruction Cycle - Fetch, Decode, Execute (Ch 1-3.3.2)"
35,August 8 2025,"Hardware: Machine Language Instructions & Types (Arithmetic, Branch, etc.) (Ch 1-3.3.1)"
36,August 9 2025,"Hardware: Addressing Modes - Immediate, Direct, Indirect (Ch 1-3.3.3)"
37,August 10 2025,"Hardware: Addressing Modes - Relative, Index, Base (Ch 1-3.3.3)"
38,August 11 2025,"Hardware: Interrupts - Types and Processing Sequence (Ch 1-3.3.4)"
39,August 12 2025,"Hardware: Memory Devices - RAM (SRAM, DRAM), ROM (PROM, EPROM) (Ch 1-3.2.1)"
